,Industry,Mean,Stdev
0,Consumer Defensive,14.276731081251212,60.2591472688118
1,Healthcare,-6.460781562461349,86.45377802987169
2,Industrials,8.733211583962381,172.67590550320588
3,Financial Services,3.650271795532233,61.9705911548275
4,Technology,7.829300663907184,599.0284466018657
5,Basic Materials,-12.977775969334864,108.93411188525981
6,Communication Services,11.41032176344892,57.45463210570475
7,Consumer Cyclical,12.354400309966222,116.64941444713722
8,Energy,7.691090008814373,23.252810867839287
9,Utilities,-45.36258094941452,310.2742522592295
10,Real Estate,13.755779677270697,35.06798225493379
