timestamp,open,high,low,close,volume
1640995200000,3676.93,3764.52,3676.93,3716.08,14865.95402848
1641024000000,3715.3,3745.0,3671.74,3725.25,12924.7081555
1641052800000,3725.24,3777.2,3717.93,3765.82,18443.40484861
1641081600000,3765.82,3770.99,3714.88,3748.09,14163.24181251
1641110400000,3748.1,3788.56,3731.0,3778.99,12454.75771501
1641139200000,3778.98,3857.69,3771.43,3828.88,19547.09425114
1641168000000,3828.63,3828.63,3775.67,3809.28,15094.64945451
1641196800000,3809.28,3851.58,3776.98,3783.69,18861.36340326
1641225600000,3783.68,3794.48,3682.51,3765.14,24415.86363477
1641254400000,3765.13,3773.65,3713.89,3763.67,17249.40060587
1641283200000,3763.68,3894.35,3758.02,3849.0,29380.78503448
1641312000000,3849.0,3863.5,3758.25,3785.14,29363.94030195
1641340800000,3785.14,3827.01,3767.34,3816.21,16212.92500715
1641369600000,3816.2,3847.22,3761.25,3821.08,26159.86370381
1641398400000,3821.09,3823.86,3401.36,3539.99,73144.25519418
1641427200000,3539.99,3550.82,3406.53,3453.52,38191.80960633
1641456000000,3453.53,3455.84,3296.13,3396.7,38143.52364087
1641484800000,3396.7,3461.39,3382.87,3406.6,26707.15549321
1641513600000,3406.6,3416.2,3114.6,3201.56,53581.99920469
1641542400000,3202.14,3291.33,3060.85,3132.34,42077.85290402
1641571200000,3131.09,3225.88,3091.26,3197.87,34075.40292773
1641600000000,3197.87,3255.5,3180.0,3215.98,18965.2366788
1641628800000,3215.97,3247.5,3145.61,3160.59,21698.09411853
1641657600000,3160.59,3180.35,2998.49,3081.05,61453.71786441
1641686400000,3081.05,3155.2,3057.83,3127.25,23900.85196707
1641715200000,3126.98,3139.3,3071.49,3098.59,22260.73201711
1641744000000,3097.92,3210.8,3092.72,3151.57,34366.76130374
1641772800000,3152.15,3181.45,3111.8,3162.87,26095.4260221
1641801600000,3163.23,3169.69,2928.76,3005.3,46556.75007053
1641830400000,3005.3,3097.52,2968.61,3082.72,33048.31991713
1641859200000,3083.02,3135.12,3052.31,3128.49,20426.6599633
1641888000000,3128.5,3157.12,3073.66,3133.78,33256.56439668
1641916800000,3133.79,3264.65,3130.18,3240.17,42795.43634559
1641945600000,3240.18,3261.0,3205.69,3217.86,27403.29331413
1641974400000,3217.55,3387.79,3215.53,3361.05,45772.59303872
1642003200000,3361.05,3411.68,3335.6,3372.14,31467.51651593
1642032000000,3372.14,3384.79,3315.0,3340.38,23385.8186173
1642060800000,3340.38,3410.94,3265.92,3300.84,30974.14317492
1642089600000,3301.23,3318.44,3232.86,3241.02,30566.96109524
1642118400000,3240.9,3312.82,3223.11,3268.78,22003.76875111
1642147200000,3268.79,3300.47,3186.19,3278.85,34531.3010939
1642176000000,3278.72,3342.83,3259.3,3308.17,21247.35517891
1642204800000,3308.17,3326.67,3294.22,3315.19,12273.49662335
1642233600000,3315.2,3370.0,3261.6,3362.89,19866.64499685
1642262400000,3362.89,3372.91,3324.49,3325.64,17617.68259273
1642291200000,3325.64,3339.57,3295.53,3332.7,13183.21098891
1642320000000,3332.38,3362.56,3273.91,3352.96,17497.98652995
1642348800000,3353.48,3393.19,3310.83,3347.28,12355.23840777
1642377600000,3347.28,3357.83,3236.91,3270.9,20809.87500351
1642406400000,3270.9,3281.49,3217.8,3236.48,18997.05842663
1642435200000,3236.78,3246.77,3141.65,3210.25,28911.08585109
1642464000000,3210.25,3243.6,3163.38,3187.65,20315.3095749
1642492800000,3187.65,3192.45,3100.0,3116.04,27868.94708775
1642521600000,3116.51,3192.76,3082.98,3160.2,29832.4721449
1642550400000,3160.2,3174.89,3048.0,3061.96,20210.70109676
1642579200000,3062.35,3161.23,3046.63,3123.27,25932.36265647
1642608000000,3123.27,3158.57,3082.01,3084.76,25800.60686688
1642636800000,3084.47,3152.82,3083.68,3137.92,13330.35644778
1642665600000,3137.93,3268.9,3116.9,3260.34,23274.25762028
1642694400000,3261.19,3275.01,2986.97,3000.95,44334.29513205
1642723200000,3000.41,3037.11,2809.5,2882.48,52596.6505731
1642752000000,2882.48,2899.3,2731.44,2831.26,43586.99515802
1642780800000,2831.28,2861.93,2461.0,2567.52,84240.28770844
1642809600000,2567.98,2624.97,2424.63,2463.24,51867.38844581
1642838400000,2463.23,2518.07,2300.0,2386.79,66130.26602102
1642867200000,2386.4,2474.0,2318.91,2411.56,58380.29194065
1642896000000,2412.05,2502.15,2386.37,2488.14,31880.33901896
1642924800000,2488.22,2551.7,2405.5,2432.9,46590.19212452
1642953600000,2432.9,2550.0,2370.94,2539.68,34176.94754668
1642982400000,2539.68,2540.73,2380.34,2385.76,33438.92254928
1643011200000,2385.76,2443.1,2158.04,2275.16,85307.74659933
1643040000000,2275.16,2480.0,2213.26,2440.38,62710.6601645
1643068800000,2440.01,2442.44,2351.59,2384.22,23950.89835983
1643097600000,2383.02,2468.96,2364.98,2418.93,38642.72835087
1643126400000,2419.42,2506.95,2404.01,2459.0,42761.71306543
1643155200000,2459.0,2505.6,2414.35,2462.67,27339.56598999
1643184000000,2462.45,2666.4,2461.6,2605.26,53337.9203123
1643212800000,2605.26,2722.53,2402.47,2462.3,82184.91431245
1643241600000,2463.0,2494.88,2345.72,2403.22,52922.41424326
1643270400000,2403.55,2521.38,2385.73,2479.26,39249.74373127
1643299200000,2480.1,2496.0,2315.59,2424.72,59423.35978699
1643328000000,2424.73,2474.37,2362.57,2390.81,39808.64931075
1643356800000,2390.81,2448.4,2358.22,2443.17,45691.9538237
1643385600000,2443.17,2558.4,2426.2,2546.15,39088.77486958
1643414400000,2546.13,2587.1,2518.0,2568.13,23255.27785992
1643443200000,2568.13,2608.31,2525.2,2544.21,23543.96882466
1643472000000,2543.29,2636.75,2526.29,2601.99,22489.00679052
1643500800000,2601.78,2633.0,2550.4,2619.1,19227.74422581
1643529600000,2619.1,2639.7,2584.4,2617.46,18241.98937643
