,timestamp,side,size,price
2023-10-13 10:13:02,,buy,0.18643116,26820.0
2023-10-13 10:13:03,,buy,0.372562,26823.2
2023-10-13 10:14:14,,sell,0.51741976,26819.7
2023-10-13 10:15:00,,buy,0.18647079,26813.9
2023-10-13 10:16:50,,sell,0.19491583,26813.6
2023-10-13 10:16:54,,sell,0.22430235,26813.7
2023-10-13 10:17:37,,sell,0.18644785,26818.8
2023-10-13 10:17:37,,sell,0.33354608,26818.8
2023-10-13 10:20:40,,sell,0.14763078,26816.4
2023-10-13 10:20:44,,buy,0.29879141,26810.4
2023-10-13 10:21:13,,buy,0.1865007,26808.4
2023-10-13 10:21:15,,buy,0.13503999,26810.3
2023-10-13 10:21:15,,buy,0.35,26810.3
2023-10-13 10:21:15,,buy,0.18650905,26810.3
2023-10-13 10:21:15,,buy,0.33526418,26810.3
2023-10-13 10:21:15,,buy,0.12616529,26810.3
2023-10-13 10:21:15,,buy,0.13879213,26810.3
2023-10-13 10:21:15,,buy,0.11376303,26810.3
2023-10-13 10:22:34,,sell,0.34561299,26802.7
2023-10-13 10:22:34,,sell,0.11167349,26802.7
2023-10-13 10:22:34,,sell,0.11577242,26802.7
2023-10-13 10:22:34,,sell,0.10040485,26802.7
2023-10-13 10:22:47,,sell,0.25932675,26806.1
2023-10-13 10:22:47,,sell,0.10002871,26806.1
2023-10-13 10:22:47,,sell,0.373008,26806.1
2023-10-13 10:23:15,,sell,0.12864969,26812.9
2023-10-13 10:24:51,,buy,0.18654767,26802.8
2023-10-13 10:25:26,,sell,0.13503999,26798.4
2023-10-13 10:25:26,,sell,0.35,26798.4
2023-10-13 10:25:26,,sell,0.18657795,26798.4
2023-10-13 10:25:26,,sell,0.373155,26795.5
2023-10-13 10:25:26,,sell,0.15206019,26794.8
2023-10-13 10:25:52,,buy,0.16785206,26797.5
2023-10-13 10:25:52,,buy,0.373155,26797.5
2023-10-13 10:27:49,,buy,0.11363535,26809.5
2023-10-13 10:28:58,,sell,0.10839571,26799.8
2023-10-13 10:29:56,,buy,0.10949396,26798.3
2023-10-13 10:30:21,,sell,0.34719352,26788.1
2023-10-13 10:30:21,,sell,0.29967176,26786.9
2023-10-13 10:30:21,,sell,0.11199746,26786.3
2023-10-13 10:30:21,,sell,0.35,26784.9
2023-10-13 10:30:21,,sell,0.32615129,26783.6
2023-10-13 10:30:27,,buy,0.10259348,26786.7
